# id                          beta  beta_uerr  beta_lerr        z   z_uerr   z_lerr      muv  muv_uerr  muv_lerr
RXJ-2129-3021681            -2.56       0.27       0.42     8.98     1.12     0.55   -19.97      0.10      0.16
RXJ-2129-16261              -2.48       0.25       0.32     9.12     0.87     0.40   -20.24      0.09      0.12
CEERS-570                   -3.86       0.90       1.12    10.91     0.43     0.60   -19.89      0.25      0.12
CEERS-2543                  -2.63       0.47       0.74    11.43     2.07     0.74   -19.70      0.21      0.19
CEERS-3530                  -2.03       0.29       0.28    10.28     0.28     0.45   -20.50      0.19      0.13
CEERS-3961                  -3.99       0.45       0.58    11.37     0.24     0.26   -19.71      0.09      0.06
CEERS-6303                  -2.11       0.34       0.49     9.86     0.55     0.70   -20.27      0.16      0.20
CEERS-7927                  -1.90       0.25       0.25    10.15     0.10     0.11   -20.11      0.05      0.04
CEERS-8536                  -2.36       0.26       0.29    11.91     0.63     0.35   -20.38      0.10      0.11
CEERS-9617                  -2.63       0.25       0.25    10.22     0.26     0.37   -20.31      0.12      0.10
CEERS-10389                 -2.64       0.57       0.60    10.69     0.83     0.65   -19.70      0.25      0.19
CEERS-15760                 -2.83       0.45       0.57    11.59     0.66     0.44   -20.50      0.16      0.10
CEERS-17070                 -1.99       0.25       0.25    11.01     0.36     0.38   -19.66      0.15      0.12
CEERS-17402                 -1.03       0.40       0.48     9.90     0.96     0.90   -18.99      0.35      0.35
CEERS-17416                 -2.81       0.39       0.55     9.86     0.64     0.63   -19.26      0.12      0.20
CEERS-20465                 -2.68       0.25       0.25    11.31     0.20     0.20   -20.49      0.05      0.05
CEERS-20687                 -3.04       0.35       0.34    10.97     0.21     0.24   -19.62      0.10      0.07
CEERS-22229                 -3.06       0.68       1.10    10.01     0.65     0.44   -19.22      0.13      0.18
CEERS-26592                 -3.51       1.02       1.31    11.52     0.75     0.74   -20.30      0.37      0.15
CEERS-37967                 -2.94       0.45       0.79    13.73     0.81     1.20   -19.52      0.18      0.27
CEERS-39491                 -2.73       0.59       0.66    10.60     0.50     0.60   -19.31      0.25      0.15
CEERS-51314                 -0.88       0.25       0.25    10.43     0.11     0.11   -19.71      0.04      0.04
CEERS-1032400               -2.38       0.40       0.52    10.05     0.53     0.54   -20.34      0.15      0.18
CEERS-1099004               -1.21       0.25       0.25     9.72     0.35     0.29   -19.71      0.12      0.14
CEERS-3069854               -1.88       0.25       0.25    10.11     0.28     0.75   -19.77      0.20      0.11
MACS-0647-20148             -2.16       0.25       0.25    10.21     0.15     0.18   -20.08      0.08      0.06
MACS-0647-20158             -2.77       0.25       0.31     9.66     0.40     0.36   -19.26      0.07      0.08
WHL-0137-10187              -2.52       0.25       0.25     9.21     0.15     0.11   -17.62      0.04      0.04
WHL-0137-22312              -2.52       0.61       0.73    10.79     0.90     0.95   -19.96      0.35      0.22
WHL-0137-21722              -2.29       0.44       0.51     9.38     0.75     0.52   -19.19      0.17      0.13
WHL-0137-2004877            -1.93       0.54       0.54     9.37     1.06     0.78   -18.57      0.34      0.30
NEPTDF-12882                -2.49       0.25       0.25    10.94     0.12     0.13   -19.81      0.04      0.04
NEPTDF-1042051              -1.33       0.25       0.30     9.91     0.47     0.43   -20.28      0.15      0.20
J1235-8807                  -3.66       0.80       2.26    11.87     2.33     0.42   -19.00      0.12      0.08
J1235-1046989               -2.50       4.77       2.34    11.33     4.14     1.74   -18.83      1.19      0.42
